case_id,view,error_type,full_candidate_count,roi_candidate_count,roi_candidate_ids,reduction_ratio,confirmed_gt_parts,gt_coverage,localization_score,localization_status,bbox,manual_review,swap_pair_coverage
missingpart-A01,front,missingpart,15,5,PIN_RED_SHORT|PIN_YELLOW|ROD_GREEN_LONG|LINK_RED_3HOLE|LINK_BLUE_5HOLE,0.6666666666666667,PIN_RED_SHORT,True,0.7906677974875143,success,"[{""role"": ""reference"", ""bbox"": [2789, 1715, 4079, 2382], ""color"": ""BLUE"", ""score"": 0.7906677974875143, ""candidate_part_id"": ""LINK_BLUE_5HOLE""}, {""role"": ""reference"", ""bbox"": [3412, 5343, 3629, 5508], ""color"": ""RED"", ""score"": 0.682322415852461, ""candidate_part_id"": ""PIN_RED_SHORT""}, {""role"": ""reference"", ""bbox"": [2970, 2866, 3958, 3239], ""color"": ""YELLOW"", ""score"": 0.6677825244247227, ""candidate_part_id"": ""PIN_YELLOW""}]",True,not_applicable
missingpart-B01,front,missingpart,15,5,ROD_GREEN_LONG|PIN_YELLOW|WHEEL_BLUE_LARGE|WHEEL_BLUE_SMALL|PIN_RED_SHORT,0.6666666666666667,WHEEL_BLUE_SMALL,True,0.8028466342873746,success,"[{""role"": ""reference"", ""bbox"": [2789, 1715, 4079, 2382], ""color"": ""BLUE"", ""score"": 0.7906677974875143, ""candidate_part_id"": ""LINK_BLUE_5HOLE""}, {""role"": ""reference"", ""bbox"": [2970, 2866, 3958, 3239], ""color"": ""YELLOW"", ""score"": 0.6613988496628286, ""candidate_part_id"": ""PIN_YELLOW""}]",True,not_applicable
wrongpart-B01,front,wrongpart,15,6,LINK_BLUE_5HOLE|PIN_RED_SHORT|LINK_GREEN_5HOLE|ROD_GREEN_LONG|LINK_RED_3HOLE|PIN_YELLOW,0.6,PIN_RED_SHORT|PIN_YELLOW,True,0.8540774542467293,success,"[{""role"": ""reference"", ""bbox"": [2789, 1715, 4079, 2382], ""color"": ""BLUE"", ""score"": 0.7906677974875143, ""candidate_part_id"": ""LINK_BLUE_5HOLE""}, {""role"": ""test"", ""bbox"": [3196, 823, 3507, 2546], ""color"": ""GREEN"", ""score"": 0.7906957813716792, ""candidate_part_id"": ""LINK_GREEN_5HOLE""}, {""role"": ""test"", ""bbox"": [1619, 5568, 4910, 6426], ""color"": ""RED"", ""score"": 0.7968160916165881, ""candidate_part_id"": ""LINK_RED_3HOLE""}, {""role"": ""reference"", ""bbox"": [3412, 5343, 3629, 5508], ""color"": ""RED"", ""score"": 0.682322415852461, ""candidate_part_id"": ""PIN_RED_SHORT""}, {""role"": ""reference"", ""bbox"": [2970, 2866, 3958, 3239], ""color"": ""YELLOW"", ""score"": 0.7365464834289577, ""candidate_part_id"": ""PIN_YELLOW""}, {""role"": ""test"", ""bbox"": [3516, 2849, 3655, 2953], ""color"": ""GREEN"", ""score"": 0.6803365191688584, ""candidate_part_id"": ""ROD_GREEN_LONG""}]",True,True
