case_id,error_type,candidate_count,canonical_library_count,inventory_coverage_ratio,candidate_ids,constraint_effectiveness
correct-control,correct,7,15,0.4666666666666667,BLOCK_GREEN_4HOLE_2PEG|BLOCK_YELLOW_CUBE|JOINT_YELLOW_H|LINK_BLUE_5HOLE|LINK_GREEN_5HOLE|PIN_RED_SHORT|ROD_GREEN_LONG,not_applicable
extrapart-A01,extrapart,16,15,1.0,BLOCK_GREEN_4HOLE_2PEG|BLOCK_YELLOW_CUBE|CONNECTOR_ORANGE|EYE_BALL|JOINT_BLUE_Y|JOINT_YELLOW_H|LINK_BLUE_5HOLE|LINK_GREEN_5HOLE|LINK_RED_3HOLE|PIN_RED_SHORT|PIN_YELLOW|PLATE_BLUE_TRIANGLE|ROD_GREEN_LONG|WHEEL_BLUE_LARGE|WHEEL_BLUE_SMALL|UNKNOWN_EXTRA_PART,weak
missingpart-A01,missingpart,15,15,1.0,BLOCK_GREEN_4HOLE_2PEG|BLOCK_YELLOW_CUBE|CONNECTOR_ORANGE|EYE_BALL|JOINT_BLUE_Y|JOINT_YELLOW_H|LINK_BLUE_5HOLE|LINK_GREEN_5HOLE|LINK_RED_3HOLE|PIN_RED_SHORT|PIN_YELLOW|PLATE_BLUE_TRIANGLE|ROD_GREEN_LONG|WHEEL_BLUE_LARGE|WHEEL_BLUE_SMALL,weak
missingpart-B01,missingpart,15,15,1.0,BLOCK_GREEN_4HOLE_2PEG|BLOCK_YELLOW_CUBE|CONNECTOR_ORANGE|EYE_BALL|JOINT_BLUE_Y|JOINT_YELLOW_H|LINK_BLUE_5HOLE|LINK_GREEN_5HOLE|LINK_RED_3HOLE|PIN_RED_SHORT|PIN_YELLOW|PLATE_BLUE_TRIANGLE|ROD_GREEN_LONG|WHEEL_BLUE_LARGE|WHEEL_BLUE_SMALL,weak
wrongpart-A01,wrongpart,15,15,1.0,BLOCK_GREEN_4HOLE_2PEG|BLOCK_YELLOW_CUBE|CONNECTOR_ORANGE|EYE_BALL|JOINT_BLUE_Y|JOINT_YELLOW_H|LINK_BLUE_5HOLE|LINK_GREEN_5HOLE|LINK_RED_3HOLE|PIN_RED_SHORT|PIN_YELLOW|PLATE_BLUE_TRIANGLE|ROD_GREEN_LONG|WHEEL_BLUE_LARGE|WHEEL_BLUE_SMALL,weak
wrongpart-B01,wrongpart,15,15,1.0,BLOCK_GREEN_4HOLE_2PEG|BLOCK_YELLOW_CUBE|CONNECTOR_ORANGE|EYE_BALL|JOINT_BLUE_Y|JOINT_YELLOW_H|LINK_BLUE_5HOLE|LINK_GREEN_5HOLE|LINK_RED_3HOLE|PIN_RED_SHORT|PIN_YELLOW|PLATE_BLUE_TRIANGLE|ROD_GREEN_LONG|WHEEL_BLUE_LARGE|WHEEL_BLUE_SMALL,weak
